Car_ID,Brand,Model,Variant_Name,Year,Body_Type,Fuel_Type,Transmission,Price_Lakh,Mileage_kmpl,Engine_CC,Seating_Capacity,Service_Cost_INR,Airbags,ABS,Rear_Camera,Touchscreen,Cruise_Control,Sunroof,Safety_Rating,Brand_Image_Score,Sentiment_Score,Headlight_INR,Backlight_INR,FrontBumper_INR,RearBumper_INR,SideMirror_INR
1,Maruti Suzuki,Swift,LXi Petrol MT,2024,Hatchback,Petrol,Manual,6.2,22.4,1197,5,4500,2,Yes,No,Yes,No,No,3,7,0.6,6000,4000,8500,7500,3000
2,Maruti Suzuki,Swift,VXi Petrol AT,2024,Hatchback,Petrol,Automatic,7.8,22.0,1197,5,4800,2,Yes,Yes,Yes,No,No,3,7,0.6,6000,4000,9000,8000,3200
3,Maruti Suzuki,Swift,VXi CNG MT,2024,Hatchback,CNG,Manual,8.1,30.5,1197,5,4700,2,Yes,No,Yes,No,No,3,7,0.6,6500,4200,9000,8000,3200
4,Hyundai,i20,Sportz Petrol MT,2024,Hatchback,Petrol,Manual,7.9,20.3,1197,5,6000,2,Yes,Yes,Yes,No,No,3,8,0.65,7000,4500,10000,9000,3500
5,Hyundai,i20,Asta Diesel MT,2024,Hatchback,Diesel,Manual,9.9,25.2,1493,5,6500,6,Yes,Yes,Yes,No,Yes,4,8,0.65,9000,6000,14000,13000,5000
6,Hyundai,i20,Asta Petrol AT,2024,Hatchback,Petrol,Automatic,10.1,20.0,1197,5,6200,6,Yes,Yes,Yes,No,Yes,4,8,0.65,9000,6000,15000,14000,5200
7,Tata Motors,Altroz,XE Petrol MT,2024,Hatchback,Petrol,Manual,6.6,19.3,1199,5,5200,2,Yes,No,Yes,No,No,4,7,0.55,6500,4200,9000,8000,3200
8,Tata Motors,Altroz,XZ Diesel MT,2024,Hatchback,Diesel,Manual,9.6,23.6,1497,5,5800,4,Yes,Yes,Yes,No,Yes,5,7,0.55,9000,6000,15000,14000,5200
9,Tata Motors,Nexon,Smart Petrol MT,2024,SUV,Petrol,Manual,8.2,17.0,1199,5,6000,2,Yes,Yes,Yes,No,No,5,7,0.6,9000,6000,15000,14000,5200
10,Tata Motors,Nexon,Fearless EV LR,2024,SUV,Electric,Automatic,17.5,0.0,0,5,8000,6,Yes,Yes,Yes,Yes,Yes,5,7,0.6,18000,12000,26000,24000,9000
11,Maruti Suzuki,Baleno,Delta Petrol MT,2024,Hatchback,Petrol,Manual,6.8,22.3,1197,5,4700,2,Yes,Yes,Yes,No,No,3,7,0.6,6000,4000,8500,7500,3000
12,Maruti Suzuki,Baleno,Alpha Petrol AT,2024,Hatchback,Petrol,Automatic,9.3,22.0,1197,5,5000,6,Yes,Yes,Yes,No,Yes,4,7,0.6,9000,6000,14000,13000,5000
13,Honda,City,V Petrol MT,2024,Sedan,Petrol,Manual,11.6,17.8,1498,5,7500,4,Yes,Yes,Yes,Yes,No,5,8,0.7,12000,8000,18000,16000,6500
14,Honda,City,ZX Petrol AT,2024,Sedan,Petrol,Automatic,14.2,17.4,1498,5,8000,6,Yes,Yes,Yes,Yes,Yes,5,8,0.7,15000,10000,22000,20000,8500
15,Hyundai,Verna,SX Petrol MT,2024,Sedan,Petrol,Manual,11.0,18.6,1497,5,7200,6,Yes,Yes,Yes,Yes,Yes,5,8,0.65,12000,8000,18000,16000,6500
16,Hyundai,Verna,SX Turbo AT,2024,Sedan,Petrol,Automatic,15.1,20.6,1482,5,7800,6,Yes,Yes,Yes,Yes,Yes,5,8,0.65,15000,10000,22000,20000,8500
17,Skoda,Slavia,Active Petrol MT,2024,Sedan,Petrol,Manual,11.4,20.3,999,5,9000,2,Yes,Yes,Yes,Yes,No,5,7,0.5,13000,9000,20000,18000,7500
18,Skoda,Slavia,Style Petrol AT,2024,Sedan,Petrol,Automatic,15.2,19.0,1498,5,9500,6,Yes,Yes,Yes,Yes,Yes,5,7,0.5,16000,11000,24000,22000,9000
19,Volkswagen,Virtus,Highline Petrol MT,2024,Sedan,Petrol,Manual,11.5,20.8,999,5,9200,2,Yes,Yes,Yes,Yes,No,5,7,0.5,13000,9000,20000,18000,7500
20,Volkswagen,Virtus,GT Petrol AT,2024,Sedan,Petrol,Automatic,16.0,18.9,1498,5,9800,6,Yes,Yes,Yes,Yes,Yes,5,7,0.5,16000,11000,24000,22000,9000
21,Maruti Suzuki,Brezza,LXi Petrol MT,2024,SUV,Petrol,Manual,8.3,20.1,1462,5,5200,2,Yes,Yes,Yes,No,No,4,7,0.6,9000,6000,14000,13000,5000
22,Maruti Suzuki,Brezza,ZXi CNG MT,2024,SUV,CNG,Manual,11.0,25.5,1462,5,5400,4,Yes,Yes,Yes,No,Yes,4,7,0.6,9500,6500,15000,14000,5200
23,Kia,Seltos,HTK Petrol MT,2024,SUV,Petrol,Manual,10.9,17.0,1497,5,8000,2,Yes,Yes,Yes,Yes,No,4,8,0.65,10000,7000,16000,15000,5500
24,Kia,Seltos,GTX Plus Diesel AT,2024,SUV,Diesel,Automatic,18.5,19.1,1493,5,9000,6,Yes,Yes,Yes,Yes,Yes,5,8,0.65,18000,12000,26000,24000,9000
25,Hyundai,Creta,E Petrol MT,2024,SUV,Petrol,Manual,11.0,17.4,1497,5,7800,2,Yes,Yes,Yes,Yes,No,4,8,0.65,10000,7000,16000,15000,5500
26,Hyundai,Creta,SX Diesel AT,2024,SUV,Diesel,Automatic,19.2,19.1,1493,5,8800,6,Yes,Yes,Yes,Yes,Yes,5,8,0.65,18000,12000,26000,24000,9000
27,Mahindra,XUV700,AX3 Petrol MT,2024,SUV,Petrol,Manual,14.0,13.0,1999,5,9000,2,Yes,Yes,Yes,Yes,No,5,8,0.6,14000,9000,20000,18000,7000
28,Mahindra,XUV700,AX7 Diesel AT,2024,SUV,Diesel,Automatic,22.5,16.5,2198,7,10000,7,Yes,Yes,Yes,Yes,Yes,5,8,0.6,20000,14000,30000,28000,11000
29,Toyota,Innova Crysta,GX Diesel MT,2024,MPV,Diesel,Manual,19.9,15.6,2393,7,9500,3,Yes,Yes,Yes,Yes,No,5,9,0.75,18000,12000,26000,24000,9000
30,Toyota,Innova Crysta,ZX Diesel AT,2024,MPV,Diesel,Automatic,25.4,14.5,2393,7,10500,7,Yes,Yes,Yes,Yes,Yes,5,9,0.75,22000,15000,32000,30000,12000
31,Kia,Carens,Premium Petrol MT,2024,MPV,Petrol,Manual,10.5,16.2,1497,7,7500,2,Yes,Yes,Yes,Yes,No,4,8,0.65,10000,7000,16000,15000,5500
32,Kia,Carens,Luxury Plus Diesel AT,2024,MPV,Diesel,Automatic,18.3,18.4,1493,7,8800,6,Yes,Yes,Yes,Yes,Yes,5,8,0.65,16000,11000,24000,22000,9000
